http://69.24.199.149:80,no,Puerto Rico,5100 ms,
http://178.132.220.17:8080,no,Albania,3340 ms,
http://138.199.31.68:3128,no,United Kingdom,3020 ms,
http://82.137.244.74:8080,no,Syrian Arab Republic,3400 ms,
https://94.205.254.82:3128,High,United Arab Emirates,900 ms,
http://103.46.210.22:8080,no,Afghanistan,5100 ms,
http://200.111.182.6:443,no,Chile,4300 ms,
http://62.87.151.132:38615,High,Poland,5100 ms,
socks5://184.185.2.190:4145,High,United States,5100 ms,
https://84.17.51.234:3128,no,United Kingdom,300 ms,
http://175.141.69.200:80,no,Malaysia,2360 ms,
socks5://103.241.227.98:6667,High,India,5100 ms,
socks5://134.209.29.120:1080,High,United Kingdom,5100 ms,
socks5://69.61.200.104:36181,High,United States,5100 ms,
socks5://149.172.255.9:1080,High,Germany,380 ms,
socks5://46.223.255.10:1080,High,Germany,400 ms,
socks5://196.38.150.104:8082,High,South Africa,1520 ms,
socks5://184.178.172.14:4145,High,United States,960 ms,
socks5://184.178.172.5:15303,High,United States,3020 ms,
socks5://43.224.10.43:6667,High,India,1120 ms,
socks5://181.3.11.207:1080,High,Argentina,5100 ms,
http://37.135.121.248:80,High,Spain,700 ms,
socks5://43.224.10.13:6667,High,India,3180 ms,
socks5://184.181.217.204:4145,High,United States,1020 ms,
socks5://20.52.37.89:9200,High,Germany,640 ms,
socks5://13.212.206.115:1080,High,Singapore,5100 ms,
http://200.115.53.193:3128,no,Argentina,5040 ms,
socks5://174.77.111.196:4145,High,United States,2380 ms,
socks5://174.64.199.82:4145,High,United States,2520 ms,
socks5://37.49.127.231:1080,High,Germany,360 ms,
http://79.120.177.106:8080,no,Hungary,4200 ms,
socks5://103.216.82.37:6667,High,2880 ms,High,
socks5://198.8.94.170:4145,High,United States,1160 ms,
socks5://188.166.34.137:9000,High,Netherlands,840 ms,
socks5://72.206.181.103:4145,High,United States,2000 ms,
http://144.217.101.245:3129,High,Canada,2280 ms,
http://46.209.196.146:8080,no,Iran,3660 ms,
socks5://102.129.249.120:1080,High,United States,1220 ms,
socks5://139.59.1.14:1080,High,India,1160 ms,
socks5://149.172.255.14:1080,High,Germany,3380 ms,
socks5://134.3.255.10:1080,High,Germany,3400 ms,
socks5://204.101.61.82:4145,High,Canada,1000 ms,
socks5://138.68.60.8:1080,High,United States,1600 ms,
socks5://128.199.202.122:1080,High,Singapore,1220 ms,
socks5://37.49.127.229:1080,High,Germany,1360 ms,
socks5://176.9.75.42:1080,High,Germany,340 ms,
socks5://154.16.202.22:1080,High,Germany,280 ms,
socks5://46.237.255.3:1080,High,Germany,360 ms,
socks5://149.172.255.2:1080,High,Germany,360 ms,
http://31.3.15.82:3128,no,Netherlands,320 ms,
http://58.152.94.85:8080,High,Hong Kong,1980 ms,
socks4://117.242.147.73:46152,High,India,4120 ms,
socks4://188.165.138.11:54430,High,Finland,1340 ms,
http://72.52.4.6:80,no,United States,220 ms,
socks4://213.6.210.50:4153,High,Palestinian Territory,2060 ms,
http://142.93.130.126:80,no,Netherlands,240 ms,
socks4://95.9.194.13:30436,High,Turkey,4740 ms,
http://91.207.238.107:56288,High,Russian Federation,3180 ms,
http://41.65.244.26:8080,no,Egypt,1660 ms,
socks4://27.54.163.132:31976,High,India,1180 ms,
socks5://192.111.139.162:4145,High,United States,1140 ms,
socks4://192.252.209.155:14455,High,Canada,1980 ms,
socks5://52.255.218.186:1080,High,United States,4760 ms,
socks5://66.42.224.229:41679,High,United States,5100 ms,
